Most common words,Absolute frequency,Relative frequency
afterwards,25.0,0.00045973629526103825
mean,25.0,0.00045973629526103825
yah,25.0,0.00045973629526103825
stand,25.0,0.00045973629526103825
sake,25.0,0.00045973629526103825
blood,25.0,0.00045973629526103825
feet,25.0,0.00045973629526103825
find,25.0,0.00045973629526103825
walked,25.0,0.00045973629526103825
wait,25.0,0.00045973629526103825
woman,25.0,0.00045973629526103825
months,25.0,0.00045973629526103825
fancy,25.0,0.00045973629526103825
joy,25.0,0.00045973629526103825
wonder,24.0,0.00044134684345059676
strong,24.0,0.00044134684345059676
wall,24.0,0.00044134684345059676
desire,24.0,0.00044134684345059676
purpose,24.0,0.00044134684345059676
remarked,24.0,0.00044134684345059676
subject,24.0,0.00044134684345059676
features,24.0,0.00044134684345059676
taking,24.0,0.00044134684345059676
quiet,24.0,0.00044134684345059676
raised,24.0,0.00044134684345059676
doctor,24.0,0.00044134684345059676
kenneth,24.0,0.00044134684345059676
try,24.0,0.00044134684345059676
uttered,23.0,0.0004229573916401552
closed,23.0,0.0004229573916401552
short,23.0,0.0004229573916401552
latter,23.0,0.0004229573916401552
floor,23.0,0.0004229573916401552
loved,23.0,0.0004229573916401552
fast,23.0,0.0004229573916401552
snow,23.0,0.0004229573916401552
earth,23.0,0.0004229573916401552
th,23.0,0.0004229573916401552
seized,23.0,0.0004229573916401552
ah,23.0,0.0004229573916401552
neck,23.0,0.0004229573916401552
lost,23.0,0.0004229573916401552
pity,23.0,0.0004229573916401552
business,23.0,0.0004229573916401552
park,23.0,0.0004229573916401552
followed,23.0,0.0004229573916401552
temper,23.0,0.0004229573916401552
reached,23.0,0.0004229573916401552
remain,23.0,0.0004229573916401552
tried,23.0,0.0004229573916401552
pretty,23.0,0.0004229573916401552
sister,23.0,0.0004229573916401552
grave,23.0,0.0004229573916401552
hush,23.0,0.0004229573916401552
crying,23.0,0.0004229573916401552
silent,23.0,0.0004229573916401552
guess,22.0,0.00040456793982971366
wind,22.0,0.00040456793982971366
eye,22.0,0.00040456793982971366
seated,22.0,0.00040456793982971366
fine,22.0,0.00040456793982971366
silence,22.0,0.00040456793982971366
stranger,22.0,0.00040456793982971366
taken,22.0,0.00040456793982971366
servants,22.0,0.00040456793982971366
corner,22.0,0.00040456793982971366
speech,22.0,0.00040456793982971366
absence,22.0,0.00040456793982971366
moors,22.0,0.00040456793982971366
means,22.0,0.00040456793982971366
notion,22.0,0.00040456793982971366
winter,22.0,0.00040456793982971366
early,22.0,0.00040456793982971366
friends,22.0,0.00040456793982971366
true,22.0,0.00040456793982971366
dinner,21.0,0.00038617848801927217
large,21.0,0.00038617848801927217
entrance,21.0,0.00038617848801927217
parlour,21.0,0.00038617848801927217
five,21.0,0.00038617848801927217
